chatbot_sid,time,user_id,turns,category,course,language,pred,query_kind,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning
011a1dfb-1f64-4873-9e6b-1aeb7c1e196f,2026-07-09T14:31:09.332Z,30812051,24,,,,,,4,4,5,8.666666666666668,Academic | Mock / Practice Questions | Slotfill,,,0.9800,15154,222,0.002406,"The bot provided accurate and thorough explanations and practice problems related to exponents and rational numbers, with no evident failures. The initial Type: TEST_PREP slotfill was appropriate given the user's request for practice questions in CBSE math for class 7. The user expressed understanding and gratitude, indicating positive sentiment and resolution."
49ae13d2-c98d-4757-9639-541a9a057a8f,2026-07-09T07:26:09.367Z,1,6,,,,,,1,1,1,2,Academic | Mock / Practice Questions | Slotfill,,Unwanted Template Push | Correction Ignored,0.9500,11641,337,0.001948,"The session is academic with practice questions and slotfill template usage. The bot failed to adapt to the user's request for direct answers and pushed an out-of-scope TEST_PREP template, ignoring the user's implicit corrections and requests for solutions. This led to multiple failures and low scores on goal resolution and reliability, with some user frustration implied."
0c5aa50e-6a63-4b0f-9a09-735f3595b792,2026-07-09T15:57:50.172Z,30770928,14,,,,,,1,1,2,2.6666666666666665,Academic | Mock / Practice Questions | Image Upload | Slotfill,,Incorrect Answer | Unwanted Template Push,0.9500,13026,344,0.002160,"The session is academic with math practice and image uploads, but the bot gave an incorrect answer for a multi-step equation and pushed an out-of-scope test-prep template instead of a direct worksheet. These critical and moderate failures reduce goal resolution and reliability, and user sentiment shows implicit frustration."
96ebd144-7b8b-4f8c-9953-2009b3cc0f7e,2026-07-09T16:40:43.780Z,30536175,13,,,,,,3,3,3,6,Academic | Not Math/Science | Mock / Practice Questions | Specific Named Resource | Slotfill,,Unwanted Template Push,0.9500,11845,332,0.001976,"The session is academic with English grammar and science topics, including practice questions on atmosphere. The bot correctly answered most grammar queries but used a TEST_PREP slotfill template for a science topic that does not fit the valid scope, causing an unwanted template push. Overall, the session resolved user intents well with minor technical content scope issues."
99849608-3ef4-45d1-8901-9de3a31eefe8,2026-07-09T16:06:24.347Z,1,8,,,,,,2,2,3,4.666666666666667,Academic | Mock / Practice Questions | Specific Named Resource | Image Upload | Speech to Text | Slotfill,,Unwanted Template Push,0.9500,14336,376,0.002376,"The bot correctly handled multiple math problems and user queries, including image-based questions and speech-to-text inputs. However, it pushed a Type: TEST_PREP slotfill template outside the valid scope, as the user requested chapter test creation and concept explanations rather than CBSE math/science practice for class 5–12. No other critical failures were found, but this misuse of slotfill reduces goal resolution and reliability scores."
3acd613d-0a1a-401e-bcb5-b8a9e69c6ac7,2026-07-09T16:21:48.663Z,30141050,12,,,,,,5,5,5,10,Academic | Not Math/Science | Image Upload | Speech to Text | Slotfill,,,0.9800,13394,285,0.002180,"The bot consistently provided relevant, accurate, and helpful responses aligned with the user's academic requests, including diagram explanation, study tips, timetable adjustment, and English speaking practice. There were no failures in context handling, correctness, or inappropriate template use. The session ended positively with user gratitude."
0cbb3225-d9d0-40fa-8a94-fba8021248f0,2026-07-09T15:59:43.566Z,1,52,,,,,,1,1,1,2,Academic | Not Math/Science | Mock / Practice Questions | Image Upload | Speech to Text | Slotfill,,Unwanted Template Push | Correction Ignored,0.9500,19094,416,0.003114,"The session is academic with multiple practice questions and English learning, including image uploads and speech-to-text inputs. The bot incorrectly used test-prep templates outside their valid scope and failed to fully address user corrections, causing user frustration. These issues lowered the goal resolution and reliability scores, and user sentiment was poor due to repeated corrections."
77b21175-c978-4576-9bc5-72005017e59a,2026-07-09T17:28:57.301Z,1,10,,,,,,1,1,2,2.6666666666666665,Academic | Class 5 and Below CBSE | Not Math/Science | Mock / Practice Questions | Slotfill,,Unwanted Template Push | Class Mismatch,0.9500,13075,430,0.002219,"The session is academic with a focus on early primary classes and non-math/science subjects, including practice questions and worksheets. However, the bot incorrectly used a TEST_PREP template for class 4 division sums, which is out of scope for TEST_PREP, causing an unwanted template push and class mismatch. No other critical failures or context issues were found."
c6402a06-abd8-4509-97fb-e6f198dd984a,2026-07-09T15:48:50.664Z,30622814,3,,,,,,5,5,3,8.666666666666668,Academic | Mock / Practice Questions | Specific Named Resource | Slotfill,,,0.9500,11491,247,0.001872,The bot correctly understood and fulfilled the user's request for a test paper and solved multiple math problems step-by-step without any errors or failures. The use of Type: TEST_PREP slotfill was appropriate given the user's request for practice questions in CBSE Class 9 math. There are no detected issues or failures in the conversation.
114ddb30-b750-4739-8e88-7a567cf65968,2026-07-09T01:23:48.532Z,1,6,,,,,,2,2,3,4.666666666666667,Academic | Mock / Practice Questions | Specific Named Resource | Speech to Text | Slotfill,,Unwanted Template Push,0.9500,11850,320,0.001969,"The session is academic with multiple requests for explanations and practice questions. However, the bot incorrectly used test-prep templates for out-of-scope requests, resulting in an unwanted template push failure. No other critical failures were detected, and user sentiment appears neutral."
