chatbot_sid,time,user_id,turns,user_messages,bot_last_message,category,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning,skipped_by_gate,gate_action,Gate 1 Category tag,learning_ask_type,gate_reasons,gate_source
02e55f43-64e8-4fc7-9e5e-c40794bcf274,2026-08-13T10:52:24.325Z,1,12,"U1: How do I convert pounds to ounces
U2: Identify the greater number in the following pairs
U3: 4 power 5 or 5 power 4
U4: Simplify
U5: 11 to the power of 8 into 10 to the power of 7 into 10 to the power of 7 by 11 to the power of 3 into m to the box of 5 into 10 to the power of 7
U6: 11 to the power of 8.m to the power of 11 n to the power of 7
U7: 4
U8: Show me my upcoming assignments on CK-12
U9: What are the 5 rules of exponents
U10: Represent the following numbers in the Egyptian numbers
U11: 12,345
U12: 8209","Let’s write **8209** in Egyptian numerals. First, break it into place values: - \(8{,}000 = 8 \times 1{,}000\) - \(200 = 2 \times 100\) - \(9 = 9 \times 1\) So: \[ 8209 = 8 \times 1{,}000 + 2 \times 100 + 9 \times 1 \] Now match with Egyptian symbols (described in words): - **1,000** → lotus plant →",Unit Conversion,,,,,Academic,,,,1836,64,0.000837,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
f1ba7983-5e98-4c5d-bb3b-3925b8cbae54,2026-08-13T17:43:43.440Z,1,5,"U1: Hi
U2: Can you set my time table and send me make my time table
U3: 7.30 8.00.
U4: I will break up 7:30 and my school time is 8 a.m.
U5: I will wake up 7:30 a.m. assembly time 8 am and school will be and 1.30, pm",Type: REMINDER Task: wake up Time: 7:30 a.m. Time: 2026-08-13 07:30:00 / 7:30 a.m.,Small Talk,,,,,Non-Academic,,,,1658,62,0.000762,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
6559eadd-3f42-4e1c-af59-8ab783d9925c,2026-08-13T16:08:36.455Z,1,29,"U1: Hindi
U2: मुझे पढ़ना नहीं आता
U3: हिंदी में
U4: रिंकू कुमारी मुझे थोड़ा तो पटना आता है पर लिखना नहीं आता
U5: कोई कोई शब्द पढ़ने नहीं आता
U6: म
U7: मूली सब्जी
U8: क आ इ ई उ ऊ ए ऐ ओ औ
U9: क‌अक
U10: क‌आ‌का +क‌इकि+क‌ईकी+क‌उकु+क‌ऊकू+क‌एके+क‌ऐकै+क‌ओको+क‌औकौ
U11: क का कि की कु कू के कै को कौ को को कं
U12: मैं कोशिश तो कर रही हूं पर इतना नहीं आ रहा है
U13: कबूतर
U14: कबूतर
U15: कमल
U16: गीता
U17: पापाजी
U18: मामी जी
U19: भाय
U20: भाई
U21: बहन
U22: भाभी
U23: भातीजी
U24: भाई की बेटी को
U25: मामी
U26: सुबह पढ़ाई करूंगा
U27: ओक
U28: नमस्ते गुरुजी ठीक
U29: इसे पढ़ना गुरुजी मुझे पढ़ना नहीं आता अगर आप मुझे सिखाओगे तो मैं सब धीरे-धीरे सीख जाऊंगी","बहुत अच्छा, तुम सीखना चाहती हो – यही सबसे ज़रूरी बात है ❤️ हम **एकदम शुरुआत से, धीरे-धीरे** सीखेंगे। आज से ही शुरू करते हैं। ### 1. पहले बातें और सुनना मज़बूत करें अगर अभी तुम्हें शब्द पढ़ना नहीं आता, तो ये करो: - घर पर जो भी बड़ा है (मम्मी, पापा, भाई, बहन) उनसे कहो - *“रोज़ मुझे 5–10 मिनट कहानी या क",NA,,,,,Academic,,,,1957,62,0.000882,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Concept Explanation,gate_llm,gate_llm
986af311-769e-449c-bc98-2539f6de70c8,2026-08-13T14:48:37.925Z,1,41,"U1: I speak in bengali
U2: Kibhaba dine 8
U3: Kibhaba dine 8 ghanta porbo kono strees chara
U4: Amar sange bangaai kotha bolo
U5: Rutin dao
U6: Bagla school chara
U7: Bangla ta bolo school chara
U8: School badao kibhaba 8 hours easily porbo
U9: Tumi amar question bughta parcho na
U10: Please Bangla ta bolo
U11: Amar bikala chota porjanta tution 5haka
U12: Ami bhor thaka uthta pari
U13: Bangla
U14: Tumi 9ta thaka 4ta porjanta bad dao karon oi somoi ami school e thaki
U15: Bughta paracho
U16: Amar aktu bhul hoye gacha bikala ota 6 ta porjanto jobe
U17: Ami porar time barata chai
U18: Bangla
U19: Ami dina 8 hours porta chai
U20: Ami bhor 4.30e uthi ar 10pme ghumai
U21: Bangla
U22: Amaka chok kora rutin baniya dao
U23: Bangla only chok kora rutin bughta parcho
U24: Tumi bughta parcho na coloum er moto rutine
U25: Tumi bikal ta 6tate suru koro
U26: Amar 10tatheka school
U27: 6ta porjanta tution
U28: Bangla
U29: Ami school badao kota khan porlam
U30: Bangla
U31: Ami ai rutine e koto khon porlam
U32: Thak you kintu tumi khub hindi ta kotha bolcho
U33: Ami kon class epori tumi jano
U34: Ami class 8e pori
U35: Tomake ami delet kora dabo
U36: Karon tumi hindita abar kotha bolcho
U37: Na thak tumi ghumiya poro
U38: Thank you
U39: Prithibir sab chaya adbhut khabar ki
U40: Bangla
U41: Adhut khabar","ठीक है, मैं तुम्हें कुछ *अद्भुत और मज़ेदार* खबरें बहुत आसान तरीके से बताता हूँ: 1. **जेलीफिश जो कभी बूढ़ी नहीं होती** - एक तरह की जेलीफिश है जिसे लोग *“अमर जेलीफिश”* कहते हैं। - जब इसे चोट लगती है या यह बूढ़ी होने लगती है, तो यह फिर से अपने बचपन वाली स्थिति में लौट जाती है। - ऐसे जैसे कोई इंसान बूढ़",Small Talk,,,,,Non-Academic,,,,2151,62,0.000576,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
4da8f687-6a25-4cf6-ace2-f612cf32c2ec,2026-08-13T11:09:00.235Z,1,6,"U1: Wake up at 7.30
U2: Make a schedule for me ill tell the details wait
U3: Wake up 7.30 then goes to school and returns at 4.10 and also attends badminton class from 6.45 to 9.00 and sleeps at 11.30
U4: No consider study start from 4.35
U5: Make one more routine ill tell wait
U6: Wake up 6.30am go to scholl and return at 4.00pm tuition timings 6.00 to 8.00pm playing time 8.20pm to 8.45pm and sleep at 11.30pm","Here’s a clear routine based on your new timings: ### 🕒 Morning **6:30 – 7:15 am** - Wake up, brush, bath - Get ready for school - Breakfast **7:15 am – 4:00 pm** - School + travel --- ### 🕒 Afternoon Study **4:00 – 4:20 pm** - Come home, freshen up - Light snack, drink water **4:20 – 5:40 pm → St",Reminder,,,,,Non-Academic,,,,1781,62,0.000389,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
f220a93e-98fe-405c-b214-0e74d4a99f2f,2026-08-13T16:30:25.814Z,1,8,"U1: Oh thanks,
U2: Yes do I have
U3: Answers with clear explanation Photo of a printed biology exam page on cell division. It shows multiple-choice questions numbered in the 20s and 30s about mitosis, meiosis, chromosome behavior, DNA content, and related terminology, arranged in two columns with options (a), (b), (c), (d). No student 
U4: For all the questions
U5: Why
U6: Yes it will make me because,I do complete the questions first and check the answer immediately by not swipping the screen
U7: Timer
U8: Timer to study",Type: REMINDER Task: study Time: 2026-08-13 09:34:21 Time: 2026-08-13 09:34:21,Small Talk,,,,,Academic,,,,1707,64,0.000785,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
768b93af-88a4-4473-b7ba-d9e915e28147,2026-08-13T15:54:42.411Z,1,14,"U1: I a
U2: I want to get marks in quarterly exam
U3: All sub sep 16 exam
U4: 12 th standard
U5: Pcm eng french
U6: I will send u portions just give. Me a timetable
U7: Lan 1-5 mat - volume 1 phy volume 1 and 6 th lesson eng 1-4 che - ln 1 2 3 6 7 8 11 12 csc ln1 -10
U8: Boards i will go to school 7 - 5:30 i will start studying at 7 -10 week days 6 pm ' 10 pm
U9: Importants
U10: Chapter wise separation
U11: Everything stateboard
U12: Maths 1 -6
U13: Yes
U14: Exam starts at 16 /9",Type: REMINDER Task: Exam starts Time: 16/9 Time: 2026-08-13 09:05:34 / 16/9,NA,,,,,Academic,,,,1759,62,0.000803,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
36970eaf-6584-4a7d-8ab9-1470448c2ebd,2026-08-13T13:11:28.240Z,1,16,"U1: Solvin answer and aamjhakar
U2: Show me my upcoming assignments on CK-12
U3: 1 to 10 Photo of a printed trigonometry worksheet titled 'Introduction to Trigonometry' with 10 multiple-choice questions involving trig ratios, identities, and angle values. Some options are circled or marked in pen, showing a student’s attempted answers.
U4: One
U5: M.D. CHILDREN ACADEMY,12T.K., RAISINGHN CHAPTER - 8. INTRODUCTION TO TRIGONOMETRY 1 If \( \sec \theta-\tan \theta=m \), then the value of \( \sec \theta+\tan \theta \) is : (a) \( 1-\frac{1}{m} \) (b) \( m^{2}-1 \) (c) \( \frac{1}{m} \) (d) \( -m \) A photographed math test or worksheet from a schoo
U6: 1. If \( \sec \theta-\tan \theta=m \), then the value of \( \sec \theta+\tan \theta \) is : (a) \( 1-\frac{1}{m} \) (b) \( m^{2}-1 \) (c) \( \frac{1}{m} \) (d) \( -m \) 2 If \( \cos (\alpha+\beta)=0 \), then value of \( \cos \left(\frac{\alpha+\beta}{2}\right) \) is equal to : (a) \( \frac{1}{\sqrt{
U7: 2 answer
U8: Answer Multiple-choice trigonometry problem: Given sin α = √3/2 and cos β = √3/2, find the value of tan α − tan β from four options.
U9: Short and understanding
U10: Yup
U11: 6
U12: Are from picture
U13: aim sign Alpha is equals to root 3 by 2 multiplied with cosbeta is equals to root 3 by 2 then a tan alpha - 10 beta is short
U14: The value of theta for which 2sinsquare theta =1/2 0°→ theta→90° is
U15: +- means
U16: Why","**Because squaring hides the sign.** When you have \[ \sin^2\theta=\frac14 \] it means \[ (\sin\theta)^2=\frac14. \] Both \(+\frac12\) and \(-\frac12\) give the same square: \[ \left(\frac12\right)^2=\frac14 \quad \text{and} \quad \left(-\frac12\right)^2=\frac14. \] So when you “undo” the square, yo",Conceptual,,,,,Academic,,,,2137,64,0.000957,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
7ac89407-708f-43b5-bc94-30e36a6d84eb,2026-08-13T15:25:21.307Z,31184670,8,"U1: Ask me some math easy questions
U2: 1 .12
U3: No
U4: 2.9, 3.24, 4.4, 5.9, 6.23, 7.13, 8.27, 9.6, 10.8
U5: I want a time table to study and work out school time (6:30\6:00(
U6: I also want to add GYM time (6:30/7:00
U7: I want time table with GYM time (6:30/7:00) with same time table add study time and school time (6:30/6:00)
U8: I want to copy that how","**If you want to copy it, here are easy ways:** - **On phone (Android/iPhone):** tap and hold on the text → drag the blue handles to select → tap **Copy**. - **On a computer:** click and drag to highlight → press **Ctrl + C** (Windows/Chromebook) or **Cmd + C** (Mac). **Also, here’s the timetable in",Quiz_request,,,,,Non-Academic,,,,1780,62,0.000389,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
f74932cd-940a-4bd2-a2a9-486e5def05cc,2026-08-13T14:54:38.793Z,30932076,12,"U1: Make a study planner for 1 month left of half yearly exam
U2: Tell me what i have to tell you
U3: Subjects Eng lit Eng lang Beng with lang Hindi Hist & civ Geo Phy Chem Bio Maths Comp
U4: Weekdays : tuition 5 30 pm to 7 30 pm
U5: School 7 45 pm to 2 pm namaz and quran Saturday only no tuition sunday no tuition and school hardest subject maths half yearly exams 2nd week of September
U6: Huh
U7: Morning: 5: 30 am to 7 :00 am night 8 15 pm to 10 pm and i want time for school and tuition h.w and pending works
U8: Can you make notes and flashcarsa
U9: Ok when i will tell you make that
U10: I will apply the planner from monday but today is Thursday night now and and fri, sat, sun day are my holidays
U11: So don't i use that days for study
U12: Class 8","**Yes—use Fri, Sat, Sun for study, but keep it balanced: about 2–3 hours per day is enough.** That way you still enjoy your holidays and you start Monday feeling ready. **A simple Class 8 holiday routine (Fri–Sun):** - **Session 1 (morning):** 60–75 min **Maths** - **Break:** 20–30 min - **Session 2",Conceptual,,,,,Academic,,,,1852,62,0.000840,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
