"chatbot_sid","time","user_id","message_count","axis1","axis2","axis3","overall_score","category_tags","issue_tags","tags","reasoning"
"a5d49c4e-9724-4199-91cf-8d548f272d7c","6/11/2026, 8:27:28 PM","1","35","1","1","1","1","Image Upload | Slotfill","Error","Slotfill | Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"1803196a-b68d-46a7-b7b9-7b675352c96f","6/11/2026, 2:46:53 PM","1","3","1","1","1","1","Speech to Text | Slotfill","Error","Slotfill | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"026b3802-57dd-43a4-b7c9-b7ffce089c2c","6/11/2026, 9:23:01 PM","2","21","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"375d97ab-c442-4d70-844a-8219467db2ef","6/11/2026, 10:32:36 PM","1","7","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"d119f79a-0966-4f8e-9cce-147cffa3d548","6/11/2026, 11:47:42 PM","30536904","7","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"945744d9-56f9-4bb9-9296-27bbb575c864","6/11/2026, 11:06:09 PM","1","28","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"dd8c9ae5-40ef-4375-b572-78adb7cf1fc9","6/11/2026, 11:45:43 PM","30558636","7","1","1","1","1","Image Upload | Speech to Text","Error","Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"3d5cbaa9-0f95-4326-ac5c-ea90f61ecbce","6/11/2026, 11:35:32 PM","1","3","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"e7494482-8529-4c78-a68c-8f177d882519","6/11/2026, 8:45:28 PM","1","5","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"ed5d4a14-34b8-4287-8fd3-d737ce46d58d","6/11/2026, 10:57:44 PM","1","10","1","1","1","1","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"cd015c80-458c-45ab-b178-16a218d61517","6/11/2026, 10:24:51 PM","30224927","24","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f490b0c4-1c4a-4d20-a4f0-635b82d07e79","6/11/2026, 4:52:55 PM","1","10","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"fa81629f-68a9-48b3-9339-322eca3f5fa1","6/11/2026, 10:37:08 PM","1","5","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"97adba3f-0f29-48d6-bfb3-7423f17ff4d9","6/11/2026, 10:28:04 PM","1","5","1","1","1","1","Speech to Text","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"da40b55d-b8be-44ce-99b2-06bb5becf892","6/11/2026, 6:57:48 PM","30442473","4","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"40904f1d-803e-44d0-acb4-9f3c9c048847","6/11/2026, 9:49:27 PM","29685976","5","1","1","1","1","Image Upload","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
