chatbot_sid,time,user_id,message_count,axis1,axis2,axis3,overall_score,category_tags,discovery_tags,issue_tags,tags,reasoning
"ccb19ef9-a168-4669-ab78-833555ddf44e","","1",4,1,1,1,1,"Slotfill","","Error","Slotfill | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"d47a6375-abfb-4989-a26e-003108641782","","1",4,1,1,1,1,"Slotfill","","Error","Slotfill | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"8aeb7208-f716-460d-b30f-078082507e5d","","1",21,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"91e231c0-5a9b-4005-a703-af45fe2597e8","","1",5,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"29fb94d8-f426-4006-a5c4-7856dc810a83","","1",16,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"850668f2-7b65-40cb-9b20-62851f2d962e","","1",7,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"7617cb7b-2bfe-41ff-9149-b15ec86cd2ec","","1",6,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"c337200f-f241-4c44-9982-aeb1e031884a","","1",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"edd02a04-1aab-416f-8390-303a7da285fd","","1",12,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"3b7028b6-1f2b-4525-90c6-f0a029c93d5b","","1",13,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"808df086-4273-485d-a1e1-3bc9299ff5fb","","1",7,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"3704708a-2a4d-4264-8928-ce92260db258","","1",4,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"9cbe45e1-dc8a-4d82-a3be-83cfcc5af951","","1",15,1,1,1,1,"Image Upload | Speech to Text","","Error","Image Upload | Speech to Text | Error","Error: read ECONNRESET"
"f36d2a32-c786-4e87-8a03-c638bda22a85","","1",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"40e3def1-dbdd-4c57-8912-ce0ecccdbe99","","30570562",10,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"24de8520-e15b-4efd-a03c-9147ebefb748","","1",4,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"643f45e7-9add-40bc-8509-1986f29e77fd","","1",5,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"2e9138d4-b28d-4f22-aa78-5bcdf651516d","","1",23,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"10c59b4d-27d9-43f1-a057-ce0de1f576e7","","1",4,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"307b8d94-d12f-4886-9e47-eafcf5134024","","1",6,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f8036e22-d9de-490c-aa8f-e4866ce328af","","1",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"417c7b1d-61d0-42cd-87ca-7db11582e113","","1",5,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"2d3ca14a-e4f5-42c2-865d-0c16f28b9e71","","1",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"9e975d6a-3efc-422f-8ee2-538ba6426234","","1",18,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"f4d3a50c-2cec-4add-96f5-eccf6583e58a","","30773382",5,1,1,1,1,"Image Upload","","Error","Image Upload | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"03912300-f492-4688-ae0f-6ab2009ec424","","1",11,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"c1cde6c0-3348-4cc3-90f6-c47b5c10f45e","","1",6,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"01ec5ed5-d03d-4b2e-b564-6f2501bed048","","1",20,1,1,1,1,"Speech to Text","","Error","Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"de7162ff-e56b-4976-a89a-cddc42e68995","","30355830",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"652fbe77-8b0c-42d3-a812-f29e9f8bb88d","","1",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"3b550267-c462-4c57-b066-51f56051e604","","1",4,1,1,1,1,"","","Error","Error","Error: connect ETIMEDOUT 162.159.140.245:443"
"ea1ae205-d1a2-445a-981c-b192aeafad86","7/4/2026, 2:51:13 PM","1",5,1,1,1,1,"Image Upload | Speech to Text","","Error","Image Upload | Speech to Text | Error","Error: connect ETIMEDOUT 172.66.0.243:443"
"7fe38849-2536-4dad-8b41-ab17e7be6efe","","1",4,1,1,1,1,"","","Error","Error","Error: read ETIMEDOUT"
